ID,country,subregion,region,date_of_first_stamp,date_of_first_historical_stamp,topic,theme,url,scott_catalogue_number,stanley_gibbons_catalogue_number,image_source,image_name,image_permalink
165,Sierra Leone,Western Africa,Africa,1961,1966,The 5th Anniversary of Independence and Gold Coinage,Independence (National Symbols),https://www.stampworld.com/stamps/Sierra-Leone/Postage-stamps/g0384//,323-328,398-409,https://i.ebayimg.com/images/g/mMgAAOSwbIlgCCG8/s-l1600.webp,165-sierraleone.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/165-sierraleone.jpeg
166,Singapore,Southeastern Asia,Asia,1965,1966,The 1st Anniversary of Republic,Independence (History),https://www.stampworld.com/stamps/Singapore/Postage-stamps/g0074//,73-78,89-91,https://i.ebayimg.com/images/g/QOAAAOSwcHpnsjsg/s-l1600.webp,166-singapore.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/166-singapore.jpeg
167,Slovakia,Eastern Europe,Europe,1993,1993,600th Death Anniversary of St John of Nepomuk,Faith ,https://www.stampworld.com/stamps/Czech-Republic/Postage-stamps/g0004//,158,158,https://i.ebayimg.com/images/g/Dl8AAOSwLf9gba6M/s-l1600.webp,167-slovakia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/167-slovakia.jpeg
168,Slovenia,Southern Europe,Europe,1991,1992,The 100th Anniversary of the Opera House in Ljubljana,Culture ,https://www.stampworld.com/stamps/Slovenia/Postage-stamps/g0018//,135,155,https://i.ebayimg.com/images/g/4hYAAOSwYMBnfLve/s-l1600.webp,168-slovenia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/168-slovenia.jpeg
169,Solomon Islands,Melanesia,Oceania,1907,1967,The 25th Anniversary of Guadalcanal Campaign,Military,https://www.stampworld.com/stamps/Solomon-Islands/Postage-stamps/g0161//,"174, 175","160, 161",https://i.ebayimg.com/images/g/g6AAAeSwW0Vpa8jI/s-l1600.webp,169-solomonislands.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/169-solomonislands.jpeg
170,Somalia,Eastern Africa,Africa,1960,1963,The 3rd Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Somalia/Postage-stamps/g0051//,270,403,https://i.ebayimg.com/images/g/748AAOSw42dZKYGB/s-l1600.webp,170-somalia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/170-somalia.jpeg
171,South Africa,Southern Africa,Africa,1910,1938,1938 Voortrekkers 100th Anniversary Commemoration,Discovery (Settlement),https://www.stampworld.com/en/stamps/South-Africa/Postage%20stamps/1930-1939?year=1938&user=281383,"79, 80","76, 77",https://i.ebayimg.com/images/g/hisAAeSwy6tp5qqb/s-l1600.webp,171-southafrica.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/171-southafrica.jpeg
172,South Sudan,Eastern Africa,Africa,2011,2024,The 13th Anniversary of Independence,Independence (Flora and Fauna),https://www.stampworld.com/stamps/South-Sudan/Postage-stamps/g0037//,0,0,https://i.ebayimg.com/images/g/TicAAOSwLG1mlwz2/s-l1600.webp,172-southsudan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/172-southsudan.jpeg
173,Spain,Southern Europe,Europe,1850,1905,The 300th Anniversary of Don Quijote,Culture (Literature),https://www.stampworld.com/stamps/Spain/Postage-stamps/g0218//,287-296,307-316,https://ids.si.edu/ids/deliveryService?max=700&id=NPM-2011_2005_268,173-spain.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/173-spain.jpeg
174,Sri Lanka ,Southern Asia,Asia,1972,1975,Sir Ponnambalam Ramanathan Commemoration (d. 1930),Leaders (Political),https://www.stampworld.com/stamps/Sri-Lanka/Postage-stamps/g0017//,492,218,https://i.ebayimg.com/images/g/BzMAAOSwhwRntUgZ/s-l1600.webp,174-srilanka.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/174-srilanka.jpeg
175,Sudan,Northern Africa,Africa,1956,1961, The 50th Anniversary of Education for Girls,Culture (Education),https://www.stampworld.com/stamps/Sudan/Postage-stamps/g0172//,139-141,164-166,https://i.ebayimg.com/images/g/FuYAAOSw2MVgblOz/s-l1600.webp,175-sudan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/175-sudan.jpeg
176,Suriname,Latin  America  and  the Caribbean,Americas,1975,1977,150th Anniversary of steamer connection with the Netherlands,Infrastructure (transport),https://www.stampworld.com/stamps/Suriname/Postage-stamps/g0792//,478-483,894-889,https://i.ebayimg.com/images/g/9WcAAOSwgKBaxjn6/s-l1600.webp,176-suriname.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/176-suriname.jpeg
177,Sweden,Northern Europe,Europe,1855,1932,300th Anniversary of the Death of Gustavus Adolphus,Leaders (Royalty) ,https://www.stampworld.com/stamps/Sweden/Postage-stamps/g0218//,230-235,177-180,https://i.ebayimg.com/images/g/f90AAeSwIW5pU15~/s-l1600.webp,177-sweden.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/177-sweden.jpeg
178,Switzerland,Western Europe,Europe,1849,1938,The Assembly at Stans,Constitutional,https://www.stampworld.com/stamps/Switzerland/Postage-stamps/g0322//,243-246,388-390,https://i.ebayimg.com/images/g/63IAAeSwdg9o6BoQ/s-l1600.webp,178-switzerland.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/178-switzerland.jpeg
179,Syria (AR),Western Asia,Asia,1919,1934,10th Anniversary of Republic,Independence (History),https://www.stampworld.com/stamps/Syria/Postage-stamps/g0276//,232-250,271-289,https://upload.wikimedia.org/wikipedia/commons/a/ad/Syria_stamp_Al-Ma%27arri_%281934%29%2C_1_p.jpg,179-syriaar.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/179-syriaar.jpeg
180,Taiwan,Eastern Asia,Asia,1945,1947,First  Anniversary of the Return of Chinese National Government to Nanking ,Founding (History),https://www.stampworld.com/stamps/Taiwan/Postage-stamps/g0036//,732-736,36-40,https://i.ebayimg.com/images/g/g4gAAOSwydJjtm4N/s-l1600.webp,180-taiwan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/180-taiwan.jpeg
181,Tajikistan,Central Asia,Asia,1991,1993,100th Anniversary of Persian National Epic “Shakhnoma”,Culture (Literature),https://www.stampworld.com/stamps/Tajikistan/Postage-stamps/g0027//,34-37,28-30,https://upload.wikimedia.org/wikipedia/commons/c/c3/Stamp_of_Tajikistan_-_1993_-_Colnect_426287_-_Combat_with_Swords.jpeg,181-tajikistan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/181-tajikistan.jpeg
182,Tanganyika,Eastern Africa,Africa,1916,1962,Anniversary of Independence of Tanganyika,Independence (National Symbols),https://www.stampworld.com/stamps/Tanganyika/Postage-stamps/g0078//,57-60,120-123,https://upload.wikimedia.org/wikipedia/commons/e/e9/1st_anniversary_of_the_Tanganyika_Independence_stamps.jpg,182-tanganyika.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/182-tanganyika.jpeg
183,Tanzania (UR),Eastern Africa,Africa,1964,1977,The 25th Anniversary of Safari Rally,Sports,https://www.stampworld.com/stamps/Tanzania/Postage-stamps/g0074//,74-77,202-205,https://i.ebayimg.com/images/g/qTkAAOSwTTNh~Cqu/s-l1600.webp,183-tanzaniaur.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/183-tanzaniaur.jpeg
184,Thailand,Southeastern Asia,Asia,1883,1908,The 40th Anniversary of the Reign of King Chulalongkorn,Leaders (Royalty),https://www.stampworld.com/stamps/Thailand/Postage-stamps/g0081//,118-124,118-124,https://i.ebayimg.com/images/g/yzQAAOSw7b9fmHlO/s-l1600.webp,184-thailand.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/184-thailand.jpeg
185,Timor Leste,Southeastern Asia,Asia,2002,2016,500th Anniversary of the Arrival of the Portuguese,Discovery (settlement),https://www.stampworld.com/stamps/Timor-Leste/Postage-stamps/g0018//,371-372,17-18,https://i.ebayimg.com/images/g/~KoAAeSwkONpuJVA/s-l1600.webp,185-timorleste.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/185-timorleste.jpeg
186,Togo,Western Africa,Africa,1958,1961, The 1st Anniversary of Independence, Leaders (Political),https://www.stampworld.com/stamps/Togo/Postage-stamps/g0344//,396-400,276-280,https://i.ebayimg.com/images/g/4yAAAOSwdDRkA6tq/s-l1600.webp,186-togo.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/186-togo.jpeg
187,Tonga,Polynesia,Oceania,1886,1951,50th Anniversary of Friendship bewtween Tonga and Great Britain ,Leaders (Royalty),https://www.stampworld.com/stamps/Tonga/Postage-stamps/g0094//,94-99,95-100,https://i.ebayimg.com/images/g/GQQAAOSwvjdky5sn/s-l1600.webp,187-tonga.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/187-tonga.jpeg
188,Trinidad And Tobago,Latin  America  and  the Caribbean,Americas,1913,1964,The 50th Anniversary of Trinidad and Tobago Girl Guides' Association,Culture (Education),https://www.stampworld.com/stamps/Trinidad-And-Tobago/Postage-stamps/g0128//,113-115,308-310,https://i.ebayimg.com/images/g/Cd4AAOSwfw5foYed/s-l1600.webp,188-trinidadandtobago.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/188-trinidadandtobago.jpeg
189,Tunisia,Northern Africa,Africa,1956,1956,"The 4th Anniversary of the Death of Farhat Hached, 1914-1952",Leaders (Political),https://www.stampworld.com/stamps/Tunisia/Postage-stamps/g0479//,"294, 295","434, 435",https://upload.wikimedia.org/wikipedia/commons/7/78/Tunisian_stamp_about_Farhat_Hached.jpg,189-tunisia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/189-tunisia.jpeg
190,Turkiye,Western Asia,Asia,1863,1924,Kemal Ataturk and Sakarya Bridge (1921 battle) on stamps celebrating Treaty of Lausanne of 1923),Military,https://www.stampworld.com/stamps/Turkey/Postage-stamps/g0857//,625-632,1013-1020,https://i.ebayimg.com/images/g/aiYAAOSwS2xniyA8/s-l1600.webp,190-turkiye.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/190-turkiye.jpeg
191,Turkmenistan,Central Asia,Asia,1992,1992,1st Anniversary of Independence,Leaders (Political),https://www.stampworld.com/stamps/Turkmenistan/Postage-stamps/g0012//,8,5,https://i.ebayimg.com/images/g/oa0AAOSwPUxi0bH3/s-l1600.webp,191-turkmenistan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/191-turkmenistan.jpeg
192,Tuvalu,Polynesia,Oceania,1976,1977,"Royal Society Expeditions, 1896-97",Science,https://www.stampworld.com/stamps/Tuvalu/Postage-stamps/g0054//,54-57,77-80,https://i.ebayimg.com/images/g/dkYAAOSwdWFmD18z/s-l1600.webp,192-tuvalu.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/192-tuvalu.jpeg
193,Uganda,Eastern Africa,Africa,1895,1977,1977 The 25th Anniversary of Safari Rally,Sports,https://www.stampworld.com/stamps/Uganda/Postage-stamps/g0164//,167-170,188-191,https://i.ebayimg.com/images/g/STUAAeSwZfBpipYm/s-l1600.webp,193-uganda.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/193-uganda.jpeg
194,Ukraine,Eastern Europe,Europe,1992,1992,500th Anniversary of Ukraine Cossacks,Military,https://www.stampworld.com/stamps/Ukraine/Postage-stamps/g0090//,100,20,https://i.ebayimg.com/images/g/kOEAAOSwAK9iWCmo/s-l1600.webp,194-ukraine.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/194-ukraine.jpeg
195,United Arab Emirates ,Western Asia,Asia,1973,1986,1st Anniversary of the General Postal Authority,Philatelic,https://www.stampworld.com/stamps/United-Arab-Emirates/Postage-stamps/g0194//,209-212,194-197,https://i.ebayimg.com/images/g/2zQAAOSwWQZnDC7v/s-l1600.webp,195-unitedarabemirates.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/195-unitedarabemirates.jpeg
196,United States,North America,Americas,1847,1869,Columbus Landing ,Discovery (Columbus),https://www.stampworld.com/stamps/United-States/Postage-stamps/g0043//,118,121,https://i.ebayimg.com/images/g/dxYAAeSwRI1pcWDq/s-l1600.webp,196-unitedstates.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/196-unitedstates.jpeg
197,Uruguay,Latin  America  and  the Caribbean,Americas,1856,1908,"The 83rd Anniversary of the Uprising of the ""Immortal 33"" under Levalleja",Uprising,https://www.stampworld.com/stamps/Uruguay/Postage-stamps/g0175//,174-176,279-281,https://i.ebayimg.com/images/g/SEYAAOSwu8xnebuy/s-l1600.webp,197-uruguay.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/197-uruguay.jpeg
198,USSR,Eastern Europe,Europe,1923,1925,1st Anniversary of Lenin's Death,Leaders (Political),https://www.stampworld.com/stamps/USSR/Postage-stamps/g0074//,294-301,426-429,https://i.ebayimg.com/images/g/5DsAAOSwjKJm152v/s-l1600.webp,198-ussr.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/198-ussr.jpeg
199,Uzbekistan,Central Asia,Asia,1992,1992,200th Anniversary of the Birth of Princess Nadira,Leaders (Royalty),https://www.stampworld.com/stamps/Uzbekistan/Postage-stamps/g0001//,1,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/1992_Uzbekistan_stamp.jpg/250px-1992_Uzbekistan_stamp.jpg,199-uzbekistan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/199-uzbekistan.jpeg
200,Vanuatu,Melanesia,Oceania,1980,1981,The 1st Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Vanuatu/Postage-stamps/g0049//,311-314,318-321,https://postalmuseum.si.edu/object/npm_1983.0147.19482,200-vanuatu.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/200-vanuatu.jpeg
201,Vatican City (Holy See),Southern Europe,Europe,1929,1936,St. John Bosco (Catholic Press Exhibition),Leaders (Religious),https://www.stampworld.com/stamps/Vatican-City/Postage-stamps/g0051//,"49,52","49, 52",https://i.ebayimg.com/images/g/kGIAAOSwwfdm5val/s-l1600.webp,201-vaticancityholysee.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/201-vaticancityholysee.jpeg
202,Venezuela (BR),Latin  America  and  the Caribbean,Americas,1859,1893,"Columbian Exposition, Chicago, and the 400th Anniversary of Discovery of America by Columbus",Discovery (Columbus),https://www.stampworld.com/stamps/Venezuela/Postage-stamps/g0057//,136,15,https://i.ebayimg.com/images/g/aiMAAOSwc8JkOWOl/s-l500.jpg,202-venezuelabr.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/202-venezuelabr.jpeg
203,North Vietnam,Southeastern Asia,Asia,1946,1957,12th Anniversary of the Democratic Republic ,Founding (National Symbols) ,https://www.stampworld.com/stamps/North-Vietnam/Postage-stamps/g0061//,59-60,"N69, N70",https://i.ebayimg.com/images/g/qEsAAMXQ~c9RH5tC/s-l1600.webp,203-northvietnam.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/203-northvietnam.jpeg
204,South Vietnam,Southeastern Asia,Asia,1955,1955,1st Anniversary of the Government of Ngo Dinh Diem (Geneva Agreement),Leaders (Political),https://www.stampworld.com/stamps/South-Vietnam/Postage-stamps/g0001//,27-29,S1-3,https://i.ebayimg.com/images/g/r80AAeSw6JRom3x~/s-l1600.webp,204-southvietnam.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/204-southvietnam.jpeg
205,Viet Nam,Southeastern Asia,Asia,1976,1976,The 30th Anniversary of Vietnamese Red Cross,Science (Health),https://www.stampworld.com/stamps/Vietnam/Postage-stamps/g0001//,830,99,https://i.ebayimg.com/images/g/pLEAAOSwEUBnaqAA/s-l1600.webp,205-vietnam.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/205-vietnam.jpeg
206,Yemen ,Western Asia,Asia,1990,1990,1st Anniversary of the Yemen Republic,Founding (National Symbols),https://www.stampworld.com/stamps/Yemen/Postage-stamps/g0047//,573-576,47-50,https://i.ebayimg.com/images/g/0c4AAOSw79hkGudt/s-l1600.webp,206-yemen.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/206-yemen.jpeg
207,Yemen North ,Western Asia,Asia,1926,1952,4th Anniversary of the Accession of King Ahmed,Leaders (Royalty),https://www.stampworld.com/stamps/North-Yemen/Postage-stamps/g0125//,"80, C12","88, 89",https://i.ebayimg.com/images/g/63AAAMXQQQhRe2Ve/s-l1600.webp,207-yemennorth.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/207-yemennorth.jpeg
208,Yemen South,Western Asia,Asia,1968,1968,5th Anniversary of 1953 Revolution,Uprising,https://www.stampworld.com/stamps/South-Yemen/Postage-stamps/g0036//,22-24,22-24,https://i.ebayimg.com/images/g/6gUAAOSwOt5n9pyq/s-l1600.webp,208-yemensouth.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/208-yemensouth.jpeg
209,Yugoslavia,Southern Europe,Europe,1918,1929,The 1000th Anniversary of the Foundation of the Kingdom of Croatia,Founding (History),https://www.stampworld.com/stamps/Yugoslavia/Postage-stamps/g0239//,B17-B19,243-245,https://i.ebayimg.com/images/g/464AAOSwolRoP1jw/s-l1600.webp,209-yugoslavia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/209-yugoslavia.jpeg
210,Zambia,Eastern Africa,Africa,1964,1965,The 1st Anniversary of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Zambia/Postage-stamps/g0022//,22-25,112-115,https://i.ebayimg.com/images/g/xscAAOSw8lBTqXY5/s-l1600.webp,210-zambia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/210-zambia.jpeg
211,Zanzibar,Eastern Africa,Africa,1895,1944,200th Anniversary of the Al Busaid Dynasty,Leaders (Royalty),https://www.stampworld.com/stamps/Zanzibar/Postage-stamps/g0194//,327-330,218-221,https://i.ebayimg.com/images/g/a34AAOSwCwdjFma4/s-l1600.webp,211-zanzibar.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/211-zanzibar.jpeg
212,Zimbabwe,Eastern Africa,Africa,1980,1980,The 75th Anniversary of Post Office Savings Bank,Philately,https://www.stampworld.com/stamps/Zimbabwe/Postage-stamps/g0021//,434-437,597-600,https://i.ebayimg.com/images/g/ctkAAOSwEYllIKyG/s-l1600.webp,212-zimbabwe.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/212-zimbabwe.jpeg
